patience_penalty,cognitive_slowness,search_tree_depth,action_home,action_parent,action_left,action_right,action_stay,action_end,average_episode_length,average_final_node_value
0.0,0,4,0.13820598,0.,0.38604651,0.40996678,0.,0.06578073,15.05,76.8783953821141
0.0,1,4,0.17514374,0.00398054,0.32596196,0.45112782,0.,0.04378594,22.61,72.38344466935813
0.0,5,4,0.1045977,0.0091954,0.38850575,0.38275862,0.,0.11494253,8.7,71.63317238397597
0.0,10,4,0.09659091,0.00681818,0.41590909,0.35227273,0.01477273,0.11363636,8.8,71.06995165428798
0.1,0,4,0.01113586,0.,0.41202673,0.35412027,0.,0.22271715,4.49,72.86660912550033
0.1,1,4,0.03231939,0.,0.39353612,0.38403042,0.,0.19011407,5.26,73.13078957549621
0.1,5,4,0.09044193,0.08530319,0.38746146,0.3340185,0.,0.10277492,9.73,72.89560496341257
0.1,10,4,0.0496732,0.,0.32156863,0.36339869,0.13464052,0.13071895,7.65,70.77617355964283
0.5,0,4,0.,0.,0.261959,0.51025057,0.,0.22779043,4.39,70.86625384156785
0.5,1,4,0.,0.,0.39479905,0.36879433,0.,0.23640662,4.23,68.86926259566143
0.5,5,4,0.05939005,0.,0.39486356,0.38523274,0.,0.16051364,6.23,70.44701598652345
0.5,10,4,0.11258278,0.00110375,0.42494481,0.35099338,0.,0.11037528,9.06,71.56789660534389
1.0,0,4,0.,0.,0.35952381,0.40238095,0.,0.23809524,4.2,67.68980917524432
1.0,1,4,0.,0.,0.37819026,0.38979118,0.,0.23201856,4.31,67.3209783063206
1.0,5,4,0.01894737,0.,0.40210526,0.36842105,0.,0.21052632,4.75,67.01070551688085
1.0,10,4,0.03780718,0.,0.37996219,0.38563327,0.00756144,0.18903592,5.29,63.964394818164756
2.0,0,4,0.,0.,0.31840796,0.43283582,0.,0.24875622,4.02,68.19961941493956
2.0,1,4,0.,0.,0.36117936,0.39312039,0.,0.24570025,4.07,64.77983655276819
2.0,5,4,0.,0.,0.34889435,0.40540541,0.,0.24570025,4.07,58.82044934273682
2.0,10,4,0.00542005,0.,0.37127371,0.35230352,0.,0.27100271,3.69,55.71545311804127
0.0,0,8,0.09753299,0.,0.40676994,0.48221457,0.,0.0134825,69.72,98.74754460183627
0.0,1,8,0.10320285,0.,0.3588687,0.51994756,0.,0.0179809,53.39,96.13278134547417
0.0,5,8,0.00102564,0.46039886,0.37037037,0.15692308,0.0005698,0.01071225,87.75,84.03577181002724
0.0,10,8,0.05446756,0.00183599,0.35250918,0.46450428,0.06548348,0.06119951,16.34,91.34596690210533
0.1,0,8,0.0800905,0.,0.360181,0.51493213,0.,0.04479638,22.1,95.02707971573135
0.1,1,8,0.04258944,0.,0.55025554,0.32197615,0.,0.08517888,11.74,95.45003558453631
0.1,5,8,0.05605381,0.00074738,0.46188341,0.40657698,0.,0.07473842,13.38,93.7292749184915
0.1,10,8,0.04259347,0.24230951,0.43398012,0.22858495,0.00520587,0.04732608,21.13,82.21403849399269
0.5,0,8,0.0586991,0.,0.48810153,0.40084611,0.,0.05235325,18.91,100.33728302535279
0.5,1,8,0.03614458,0.,0.45180723,0.39156627,0.,0.12048193,8.3,84.19001984250359
0.5,5,8,0.06765163,0.,0.46034215,0.39424572,0.,0.0777605,12.86,81.83883075529762
0.5,10,8,0.07587769,0.00679502,0.43714609,0.36693092,0.,0.11325028,8.83,75.29043423801306
1.0,0,8,0.,0.,0.40888889,0.48,0.,0.11111111,9.0,94.79324817313272
1.0,1,8,0.00323625,0.,0.45415318,0.43473571,0.,0.10787487,9.27,93.12954869497618
1.0,5,8,0.03842941,0.,0.50543024,0.37259816,0.,0.08354219,11.97,92.47555056032044
1.0,10,8,0.01615509,0.07592892,0.37641357,0.36995153,0.,0.16155089,6.19,68.13654497347315
2.0,0,8,0.,0.,0.50618812,0.3700495,0.,0.12376238,8.08,90.17269659898643
2.0,1,8,0.00123305,0.,0.47348952,0.40197287,0.,0.12330456,8.11,89.25915750052343
2.0,5,8,0.00122549,0.,0.41911765,0.45710784,0.,0.12254902,8.16,83.79379538630312
2.0,10,8,0.01095462,0.,0.40688576,0.4256651,0.,0.15649452,6.39,68.29688762643583
